"","ST","Freq"
"1","apartment",1067
"2","astoria",562
"3","away",654
"4","bed",621
"5","bedroom",809
"6","close",892
"7","good",588
"8","kitchen",600
"9","located",640
"10","manhattan",1089
"11","min",648
"12","minutes",977
"13","neighborhood",724
"14","place",1563
"15","private",595
"16","restaurants",660
"17","room",1127
"18","subway",778
"19","train",799
"20","walk",534
