"","ST","Freq"
"1","apartment",185
"2","away",130
"3","bed",124
"4","bedroom",139
"5","bronx",252
"6","close",158
"7","good",112
"8","home",113
"9","kitchen",106
"10","located",110
"11","manhattan",191
"12","minutes",157
"13","neighborhood",112
"14","one",104
"15","place",301
"16","private",142
"17","room",229
"18","space",101
"19","subway",138
"20","train",188
